Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Mean Humidity (%)
Changi,2022,12,1,16.4,10,13.2,15.2,26.4,31,23.4,6.6,31.5,88.4
Changi,2022,12,2,7.2,5.8,6.2,6.8,26.5,30.2,24,6.9,29.6,86.7
Changi,2022,12,3,3,2.4,2.6,2.6,27.4,31.7,24.2,6,31.5,83.5
Changi,2022,12,4,15.2,9.2,9.2,9.2,27.1,30.3,24.5,5.2,31.5,85.8
Changi,2022,12,5,8.2,7,8,8,26.8,30.9,25.2,6.7,24.1,89.5
Changi,2022,12,6,0,0,0,0,27.1,31.6,24.9,5.6,29.6,84.9
Changi,2022,12,7,5,5,5,5,27.6,32.7,25.5,6.3,35.2,84.6
Changi,2022,12,8,22,17.2,19.4,20,26.6,30.1,24.9,6.9,29.6,88.5
Changi,2022,12,9,0,0,0,0,26.6,29.9,24.5,6.5,25.9,82.6
Changi,2022,12,10,0,0,0,0,27.2,30.2,24.7,6.2,18.5,82.7
Changi,2022,12,11,30.4,16,19.2,25.2,25.7,26.9,23.9,6.3,25.9,90.9
Changi,2022,12,12,0,0,0,0,26.8,29.4,24.4,6.8,16.7,85.8
Changi,2022,12,13,10.8,1.8,3.4,5.4,26,30.5,24.4,12.7,42.6,89.9
Changi,2022,12,14,10.4,7.4,7.6,7.6,25.4,26.4,24.3,7.4,24.1,92.8
Changi,2022,12,15,6.2,1.4,2,3.2,25.8,28.3,24.4,8.2,24.1,89
Changi,2022,12,16,7.2,7,7.2,7.2,27.3,32.2,24.2,8.7,35.2,83.8
Changi,2022,12,17,37,24.2,36.6,37,27,31.1,23.9,9,29.6,88.6
Changi,2022,12,18,10.2,6.4,6.4,6.4,26.6,30.9,24.6,7.6,25.9,87.5
