Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Mean Humidity (%)
Changi,2014,12,1,26.4,22.2,22.8,23.4,26.4,29.8,22.4,4.3,49.7,84.9
Changi,2014,12,2,0,0,0,0,28,32.7,24.9,4.6,21.6,76.5
Changi,2014,12,3,0,0,0,0,28.6,33.5,25.6,5.8,21.6,77.1
Changi,2014,12,4,18.8,5,9.2,15.8,25.9,27.6,23.6,4.9,28.4,86.5
Changi,2014,12,5,0,0,0,0,28,32,24.8,7.8,24.1,77.2
Changi,2014,12,6,27.4,21.2,26.6,27.2,26.8,30,23.4,5.7,42.1,84.4
Changi,2014,12,7,35.2,27.8,28.4,28.6,26.8,33.6,23.8,5.3,34.6,86.2
Changi,2014,12,8,0,0,0,0,27,30.4,24.5,6.3,26.6,84.8
Changi,2014,12,9,0,0,0,0,28,31.4,25.1,9.4,30.6,77.7
Changi,2014,12,10,0,0,0,0,28.4,32.1,26,10.2,32,74.2
Changi,2014,12,11,0,0,0,0,28.2,31.8,25.7,9.3,32.4,74.6
Changi,2014,12,12,0,0,0,0,28.4,32.2,25.7,11.2,35.6,77.4
Changi,2014,12,13,0,0,0,0,28.6,32,26,10.1,33.8,77.9
Changi,2014,12,14,0,0,0,0,28.9,32.4,26.1,9.5,28.1,75.9
Changi,2014,12,15,0,0,0,0,27.9,32,25.6,9.1,36,80.4
Changi,2014,12,16,5,2,2.2,4.2,26.8,29.4,25.7,6,17.3,85.5
Changi,2014,12,17,17.6,16.4,17.2,17.6,26.4,30,24,6.7,31.3,87.1
Changi,2014,12,18,0,0,0,0,27.8,31.7,25.2,10.4,31.3,82.6
Changi,2014,12,19,15.6,2.4,4,7.6,25.2,26.4,24.2,5.8,24.5,93.4
Changi,2014,12,20,0.4,0.4,0.4,0.4,26.9,32.1,24.5,6.2,32.4,86
Changi,2014,12,21,0.4,0.2,0.2,0.4,27.2,31.4,25.2,7.1,34.6,85.2
Changi,2014,12,22,0.6,0.6,0.6,0.6,26.8,30.1,24.6,5.4,22,84
Changi,2014,12,23,0.2,0.2,0.2,0.2,26.4,28.8,25.2,5.7,21.6,88.6
Changi,2014,12,24,0.6,0.6,0.6,0.6,26.9,30.9,25,7.2,28.8,87
Changi,2014,12,25,36.4,25.2,29.2,34.4,27.3,30.4,25.1,4.8,20.5,86.3
Changi,2014,12,26,48.2,13.6,18.2,26.2,25.4,29.8,23.7,6.3,28.8,95.7
Changi,2014,12,27,9.6,4,7.4,8.8,26,30.3,23.8,6.3,32.4,89.8
Changi,2014,12,28,1.2,0.8,1,1.2,26.2,29.9,24.2,7.4,27,86.8
Changi,2014,12,29,2,1.2,1.8,1.8,25.8,28.9,24.2,9.7,37.1,83.3
Changi,2014,12,30,0,0,0,0,25.5,27.1,24.4,7.8,32,83.9
Changi,2014,12,31,0,0,0,0,26.3,29.2,24.8,9.7,32,84.7
Changi,2014,11,1,4.4,4.4,4.4,4.4,28.3,31.8,25.8,5.1,28.4,80.1
Changi,2014,11,2,0,0,0,0,29.3,32.6,26.1,7.3,26.6,76
Changi,2014,11,3,0,0,0,0,29.6,32.7,26.7,7.2,29.5,72.4
Changi,2014,11,4,0,0,0,0,29.7,32.9,26.9,10,29.5,72.5
Changi,2014,11,5,20.6,19.2,20.2,20.4,27.7,33.4,23.8,7.4,37.1,82
Changi,2014,11,6,12.4,5.8,8.6,10,26.1,30.7,22.8,5.8,27.4,86.3
Changi,2014,11,7,10.4,4.6,4.8,8.2,26.5,31.6,24.1,5.8,33.1,85.1
Changi,2014,11,8,50.4,19.8,20,20,27.2,32.4,23.2,7.4,49.7,83.2
Changi,2014,11,9,4.4,3,3.8,4.2,27.3,30.4,24,5.8,28.4,81.4
Changi,2014,11,10,1.4,1.2,1.2,1.4,27.1,30,25.1,6.7,32.8,83.7
Changi,2014,11,11,5,4.4,4.4,4.4,26.7,31.6,24.3,5.1,28.8,87.1
Changi,2014,11,12,0.4,0.2,0.2,0.4,27.2,32.3,24.4,5,36,83.2
Changi,2014,11,13,64.4,43.6,60.4,63,27,32,22.2,6,50.8,84.3
Changi,2014,11,14,0.2,0.2,0.2,0.2,27.8,32.8,25,7.9,32.4,80
Changi,2014,11,15,13.6,11,11.4,11.6,27.1,30.9,24.4,6.2,33.8,82.1
Changi,2014,11,16,8,6.2,7.8,8,26.4,30.8,24.5,4.9,24.8,89.7
Changi,2014,11,17,0.2,0.2,0.2,0.2,26.5,32,24.7,8,40.7,86.9
Changi,2014,11,18,7.6,2.6,4,4.6,25.6,26.9,24.8,5,15.8,92.4
Changi,2014,11,19,0,0,0,0,27.6,32.3,24.6,7.5,27,82.6
Changi,2014,11,20,0,0,0,0,27.8,31.5,25.9,7.7,27.7,84.3
Changi,2014,11,21,0.2,0.2,0.2,0.2,27.4,30.9,25.3,5.6,33.8,85.1
Changi,2014,11,22,1.6,1,1.4,1.6,27.9,32.3,25.5,6.8,26.3,83.5
Changi,2014,11,23,3.2,3.2,3.2,3.2,27.9,32.1,25.9,5.4,29.2,84.1
Changi,2014,11,24,1.6,0.8,0.8,0.8,27.7,32.1,24.9,5.8,24.8,83.2
Changi,2014,11,25,0.2,0.2,0.2,0.2,28,32.7,25.4,6.1,28.4,82.1
