Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Mean Humidity (%)
Changi,2017,12,1,0,0,0,0,28,33.5,25.3,7.6,34.2,81.5
Changi,2017,12,2,1,1,1,1,28.1,32,25.1,8.6,25.2,85.4
Changi,2017,12,3,0.6,0.6,0.6,0.6,28.3,31.7,26.1,6.1,20.5,84.5
Changi,2017,12,4,14,8.2,12.8,13.6,27,31.9,24.8,5.4,25.6,91.5
Changi,2017,12,5,3.2,2.6,3.2,3.2,27.7,31.4,25.7,7.2,28.4,88.1
Changi,2017,12,6,3.6,2.2,2.2,2.4,27.8,32.2,24.9,6.8,24.8,84.3
Changi,2017,12,7,32.4,8.6,13.6,20.2,26.4,30.4,23.4,6.5,24.5,91
Changi,2017,12,8,0,0,0,0,26.9,30,25.3,7.2,23.4,83.1
Changi,2017,12,9,0.6,0.6,0.6,0.6,26,27.4,24.4,6.8,28.4,86.8
Changi,2017,12,10,8.6,7,7.8,8.6,27.5,31.3,24.8,9.4,28.8,82.9
Changi,2017,12,11,9.2,2.4,4,4.8,27.1,31.1,25.1,8.6,28.4,84.9
Changi,2017,12,12,31.6,8.6,11.2,21.2,26,30.2,24.2,5.8,22,93.2
Changi,2017,12,13,69.8,46.2,61,65.2,26.1,31.7,23.2,5.8,37.4,91.5
Changi,2017,12,14,0.8,0.8,0.8,0.8,26.8,31.9,24.4,6.5,27.4,89.4
Changi,2017,12,15,19,13.2,18,19,26.8,31.4,23.9,7.2,24.8,89.8
Changi,2017,12,16,0,0,0,0,27.5,31.1,24.7,9.4,28.8,82.6
Changi,2017,12,17,0,0,0,0,27.6,32.2,24.9,10.8,36.7,79.6
Changi,2017,12,18,0.4,0.4,0.4,0.4,27.6,30.3,25.8,14.8,41.8,76.9
Changi,2017,12,19,0.4,0.2,0.2,0.4,26.3,30.8,24.6,11.5,36.4,83.3
Changi,2017,12,20,0,0,0,0,26.9,30.2,24.6,11.2,40,82.2
Changi,2017,12,21,0,0,0,0,27.6,31.2,25.2,9.4,32.4,76.6
Changi,2017,12,22,51.6,32.4,43.6,49.6,27.3,32.4,23.5,7.2,25.6,79.4
Changi,2017,12,23,4,1.4,2.2,2.6,27.4,31.4,24.2,6.8,32,85.3
Changi,2017,12,24,0,0,0,0,26.3,28.3,25.4,7.9,24.5,84.8
Changi,2017,12,25,23,13,13,19.2,26.6,30.6,24,6.8,25.6,87.3
Changi,2017,12,26,5.2,3.8,4.8,5.2,26.6,30.9,23.8,6.5,21.6,87.8
Changi,2017,12,27,15.4,9.2,9.2,9.2,26.2,30.6,23.5,7.6,31.3,88.1
Changi,2017,12,28,9,9,9,9,26.8,31.2,25,9,31,87.6
Changi,2017,12,29,0,0,0,0,27.7,30.8,25.6,11.2,35.3,84.8
Changi,2017,12,30,4.4,2.8,3,3.2,26.8,29.3,25.2,11.9,45.7,90.2
Changi,2017,12,31,63.4,20.6,26,32.4,25,25.7,23.3,7.2,41.4,99.3
Changi,2017,11,1,0.6,0.4,0.4,0.4,27.3,31.7,24.7,5,27.4,85
Changi,2017,11,2,0,0,0,0,27.7,31.8,25.3,5.8,25.9,82.6
Changi,2017,11,3,1.4,1.2,1.4,1.4,28.1,31.4,24.5,6.5,31.7,79.5
Changi,2017,11,4,6.4,1.8,1.8,3,27.5,31.7,24.9,6.8,30.2,86
Changi,2017,11,5,0.8,0.4,0.6,0.6,28,31.6,24.7,9,29.9,84
Changi,2017,11,6,42.6,28,34,36.8,26.4,29.7,23.1,5,33.8,91.3
Changi,2017,11,7,1.8,0.8,1,1.4,26.6,29.7,25.2,5.4,21.6,91.3
Changi,2017,11,8,0.2,0.2,0.2,0.2,27.4,31.2,24.8,7.6,30.6,83.7
Changi,2017,11,9,33.2,20.2,22.8,24.2,26.2,31.1,23.8,5.8,31,90.7
Changi,2017,11,10,21.8,6.4,9.8,16.4,25.7,31,23.4,5.8,28.1,90.9
Changi,2017,11,11,10.6,7,8.2,9.2,25.8,31.1,24.2,4.3,44.3,94.4
Changi,2017,11,12,19.6,16.4,18.8,19.6,27.3,31.5,24.2,5.8,24.1,87.6
Changi,2017,11,13,4.2,1.8,2.2,3.6,27.6,31.4,24.5,5.8,29.2,85.8
Changi,2017,11,14,45,20.2,27.4,30.6,25.8,27.6,23.1,5.4,34.6,91.9
Changi,2017,11,15,0,0,0,0,27.3,31,24.7,5.8,26.3,84.2
Changi,2017,11,16,18,17.6,18,18,27.9,32.3,25.5,7.6,38.9,86.4
Changi,2017,11,17,3.2,1.8,2.6,3.2,26.9,30.3,23.8,6.8,48.6,87.6
Changi,2017,11,18,11.4,6.8,10.4,10.6,27.5,32.1,24.6,5.4,26.6,87
Changi,2017,11,19,0.2,0.2,0.2,0.2,27.9,32.5,25.2,5.8,37.8,85.5
Changi,2017,11,20,11.2,6.8,7,9.4,27.1,31,24.5,5.4,22,87.8
Changi,2017,11,21,13.8,8.6,8.6,8.6,25.8,27.9,23.3,5.4,29.5,93.3
Changi,2017,11,22,0,0,0,0,27.9,32.3,24.7,7.2,28.1,83.4
Changi,2017,11,23,6.2,4.6,5.2,6,26.5,29.4,24.5,5.8,28.8,88.8
Changi,2017,11,24,1,0.8,0.8,0.8,26.4,30.1,24.9,7.2,35.3,88.8
Changi,2017,11,25,0,0,0,0,28,32,25,7.6,25.6,82.4
Changi,2017,11,26,0,0,0,0,27.1,29.9,25.9,6.5,31.7,86.8
Changi,2017,11,27,3.4,0.8,1.6,2.4,26,27.2,24.6,6.1,22,90.2
Changi,2017,11,28,0.4,0.2,0.4,0.4,27.3,31.6,25.2,7.6,25.9,82.7
Changi,2017,11,29,14,7.6,9.2,13.2,27.2,31.3,24.9,7.9,44.6,84.9
Changi,2017,11,30,0,0,0,0,27.9,32,26,9.7,41,78
Changi,2017,10,1,2.2,1,1.6,1.6,27.1,30.6,25.8,5.8,34.2,87
Changi,2017,10,2,0.2,0.2,0.2,0.2,27.9,32.3,25.3,6.5,27.4,82.8
Changi,2017,10,3,3.2,1.4,2.4,3,27.3,31.3,25.2,5.8,32.4,88.5
Changi,2017,10,4,7.8,5.8,6.4,7,26,28.4,24.5,6.8,32,87.5
Changi,2017,10,5,0.2,0.2,0.2,0.2,27.8,31.8,24.7,7.2,25.6,81.1
Changi,2017,10,6,0,0,0,0,28.6,32,25.9,9,31,81.3
