Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Mean Humidity (%)
Changi,2013,12,1,25.6,—,—,—,26.1,28.5,24.9,6.9,24.5,94.7
Changi,2013,12,2,11.8,—,—,—,25,26,24.4,7.4,24.5,94.5
Changi,2013,12,3,119.8,—,—,—,25.6,30.6,23.5,5.7,27.4,92.8
Changi,2013,12,4,0.4,—,—,—,25.5,28,23.4,7.3,28.8,91
Changi,2013,12,5,0.4,—,—,—,26.7,31.1,24.4,6.8,25.6,87.4
Changi,2013,12,6,7.4,—,—,—,25.4,29.3,22.7,5.6,31.7,92.6
Changi,2013,12,7,0,—,—,—,26.5,30.9,23.2,6.6,22.7,86.3
Changi,2013,12,8,37.8,—,—,—,25,29.1,23.7,7.5,27,92.1
Changi,2013,12,9,0,—,—,—,26.7,31.3,24.1,7.1,25.2,86.8
Changi,2013,12,10,0.8,—,—,—,27.1,30.1,25,6.4,18.4,87.5
Changi,2013,12,11,0,—,—,—,27.5,31.3,25,9.7,30.6,83.7
Changi,2013,12,12,2.8,—,—,—,27.2,31.3,25.2,7.8,32,87.2
Changi,2013,12,13,0,—,—,—,27.7,31.7,25.1,10.2,28.4,81.9
Changi,2013,12,14,19,—,—,—,26.8,32,23.1,6.7,28.4,85.4
Changi,2013,12,15,14.4,—,—,—,26.2,31.7,21.6,6.9,33.5,88
Changi,2013,12,16,0,—,—,—,28,33.7,24.3,6.4,27,81.2
Changi,2013,12,17,0,—,—,—,27.8,32.4,24.2,7.2,31.3,81.2
Changi,2013,12,18,75,—,—,—,26.4,32.1,21.2,9.4,48.2,83.9
Changi,2013,12,19,0.2,—,—,—,25.9,29,22.8,9,32,85.3
Changi,2013,12,20,11.2,—,—,—,25.6,28.2,23.8,6,28.4,89.8
Changi,2013,12,21,0,—,—,—,26.1,29.9,23.7,7.7,31,87.1
Changi,2013,12,22,1.2,—,—,—,26.6,31.1,24.4,10.6,34.9,83.3
Changi,2013,12,23,2.4,—,—,—,25.5,27.6,23.9,9.9,29.5,90.6
Changi,2013,12,24,0.6,—,—,—,26.9,29.5,25.3,9.7,36.4,81.5
Changi,2013,12,25,0,—,—,—,27.3,30.2,25.5,10.1,35.3,79.9
Changi,2013,12,26,1.4,—,—,—,26.7,30.3,24.8,10.3,34.6,84.8
