Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),Mean Humidity (%)
Changi,2016,12,1,18.4,8,11.6,12,25.7,27.2,24.8,5,19.8,88
Changi,2016,12,2,1.2,0.6,1,1.2,27.4,32.2,24.3,6.5,24.1,74.6
Changi,2016,12,3,1,0.4,0.8,1,27.3,29.8,24.8,4.3,17.6,78.9
Changi,2016,12,4,18.6,16.6,18.6,18.6,28.6,32.9,26,8.3,27.4,72.7
Changi,2016,12,5,0.8,0.8,0.8,0.8,28.7,32.8,25.6,9,27,71.8
Changi,2016,12,6,21.6,10.6,10.6,10.6,27.7,32.6,24.3,6.8,35.6,80.5
Changi,2016,12,7,33.4,31.8,32.8,33.4,27.8,33.1,24.2,6.8,32.4,82.8
Changi,2016,12,8,0,0,0,0,28.5,32.7,25.2,6.8,28.4,72.6
Changi,2016,12,9,23.4,14.4,15,15.2,27,31.2,24.9,5.4,22.3,79.8
Changi,2016,12,10,2,1,2,2,27.5,30.6,24.4,6.1,29.9,73
Changi,2016,12,11,7.6,6.8,7,7.4,26.5,29.8,23,7.2,47.2,74.3
Changi,2016,12,12,0,0,0,0,28.5,32.4,26,9.7,36.7,59.3
Changi,2016,12,13,0,0,0,0,28.4,33.1,25.1,6.5,29.5,63.5
Changi,2016,12,14,0.2,0.2,0.2,0.2,28,33.6,25,6.1,28.8,64.2
Changi,2016,12,15,0,0,0,0,28.7,33,25.9,6.5,33.1,62.6
Changi,2016,12,16,2.4,2.4,2.4,2.4,28.2,31.8,26.1,7.2,27,68.5
Changi,2016,12,17,29.6,19.6,20.4,20.6,26.8,31.3,24.5,7.2,29.5,83
Changi,2016,12,18,2.4,2.2,2.4,2.4,26.9,31.6,23.4,7.2,38.5,75.7
Changi,2016,12,19,6,3.8,3.8,3.8,28,32.5,25.1,8.3,33.5,64.9
Changi,2016,12,20,0,0,0,0,28.6,33,25.6,10.8,40,58.7
Changi,2016,12,21,3,2.8,3,3,28.5,33.4,25.7,7.6,36,56.2
Changi,2016,12,22,12.2,8.4,9.6,10.4,26.7,31.8,24.1,6.5,31.3,78.8
Changi,2016,12,23,19.6,16.2,17.6,18.8,27,30.5,24.3,6.5,28.1,79.1
Changi,2016,12,24,73,30.6,43,67.2,26.3,32.5,23.3,7.2,36.4,85.6
Changi,2016,12,25,10.4,4.2,8.2,8.4,26.6,31.8,24.7,7.2,45,82.9
Changi,2016,12,26,0,0,0,0,26.5,30.6,24.1,6.8,28.1,77.2
